0	0	0	0	0	0	0	0	0	0	Ruim
12	0	10	16	0	0.1333	0	0.2656	0.2922	0	Ruim
0	0	7	2	0	0	0	0.4467	0.8256	0	Ruim
0	0	4	7	0	0	0	0.6633	0.4417	0	Ruim
0	0	7	5	0	0	0	0.5094	0.6044	0	Ruim
0	0	3	9	0	0	0	0.6683	0.5033	0	Ruim
0	0	8	6	0	0	0	0.4967	0.5044	0	Ruim
0	0	8	6	0	0	0	0.4967	0.5044	0	Ruim
0	0	6	6	0	0	0	0.3683	0.5011	0	Ruim
0	0	9	7	0	0	0	0.4594	0.7044	0	Ruim
7	6	2	3	0	0.5306	0.5744	0.6217	0.7328	0	Ruim
0	0	9	5	0	0	0	0.3839	0.5567	0	Ruim
4	5	1	7	0	0.6122	0.4794	0.34	0.5411	0	Ruim
4	6	5	4	0	0.6728	0.55	0.5739	0.3572	0	Ruim
0	0	10	9	0	0	0	0.4278	0.6539	0	Ruim
8	8	3	2	0	0.5128	0.5667	0.8167	0.5083	0	Ruim
0	0	8	8	0	0	0	0.4867	0.3811	0	Ruim
0	0	8	8	0	0	0	0.4867	0.3811	0	Ruim
8	7	3	2	6	0.4722	0.4989	0.6828	0.8656	0.1178	Ruim
5	8	4	2	0	0.6667	0.39	0.5839	0.6961	0	Ruim
9	7	1	1	0	0.4733	0.4339	0.6678	0.8211	0	Ruim
5	4	3	5	8	0.5678	0.3239	0.7511	0.3906	0.3267	Ruim
5	5	1	3	7	0.3128	0.5667	0.0967	0.6656	0.45	Ruim
4	4	4	7	0	0.3106	0.7078	0.5633	0.4383	0	Ruim
0	0	8	8	0	0	0	0.3294	0.4606	0	Ruim
8	5	3	1	0	0.3989	0.5444	0.5917	0.1206	0.0722	Ruim
8	7	2	2	2	0.3278	0.5456	0.7594	0.7228	0.4161	Ruim
7	8	0	2	2	0.3239	0.4244	0	0.8022	0.3828	Ruim
7	8	0	2	2	0.3239	0.4244	0	0.8022	0.3828	Ruim
6	6	3	5	10	0.5533	0.3567	0.6306	0.47	0.3044	Ruim
0	0	9	9	0	0	0	0.3972	0.4383	0	Ruim
8	7	4	2	2	0.375	0.5833	0.5828	0.6072	0.3156	Ruim
8	7	2	3	0	0.3117	0.6039	0.8344	0.7539	0	Ruim
